year,month,mean_temp_monthly,blh_monthly,station_id
2023,1,2.86,423.6,os_piastow
2023,2,1.33,624.7,os_piastow
2023,3,5.37,610.0,os_piastow
2023,4,7.82,566.6,os_piastow
2023,5,12.88,534.1,os_piastow
2023,6,17.84,549.8,os_piastow
2023,7,20.57,585.4,os_piastow
2023,8,20.49,426.7,os_piastow
2023,9,17.91,386.5,os_piastow
2023,10,12.26,474.9,os_piastow
2023,11,4.92,536.6,os_piastow
2023,12,1.67,496.9,os_piastow
2024,1,-0.66,,os_piastow
2024,2,6.37,,os_piastow
2024,3,7.29,,os_piastow
2024,4,11.22,,os_piastow
2024,5,16.14,,os_piastow
2024,6,19.27,,os_piastow
2024,7,21.7,597.0,os_piastow
2024,8,21.16,481.1,os_piastow
2024,9,17.08,491.3,os_piastow
2024,10,10.34,329.8,os_piastow
2024,11,3.47,381.2,os_piastow
2024,12,1.82,364.4,os_piastow
2019,1,-1.86,517.1,os_wadow
2019,2,2.86,459.7,os_wadow
2019,3,6.12,704.5,os_wadow
2019,4,10.19,596.3,os_wadow
2019,5,12.43,535.5,os_wadow
2019,6,21.7,565.8,os_wadow
2019,7,19.37,677.9,os_wadow
2019,8,20.41,471.0,os_wadow
2019,9,14.93,549.3,os_wadow
2019,10,11.2,342.5,os_wadow
2019,11,6.91,254.3,os_wadow
2019,12,2.82,379.0,os_wadow
2020,1,1.24,349.5,os_wadow
2020,2,4.07,660.8,os_wadow
2020,3,4.88,603.5,os_wadow
2020,4,9.73,665.4,os_wadow
2020,5,11.77,654.9,os_wadow
2020,6,18.19,509.2,os_wadow
2020,7,19.06,542.3,os_wadow
2020,8,20.84,562.5,os_wadow
2020,9,15.55,378.8,os_wadow
2020,10,10.5,368.4,os_wadow
2020,11,5.12,265.7,os_wadow
2020,12,1.46,221.6,os_wadow
2021,1,-1.48,334.1,os_wadow
2021,2,-1.18,358.0,os_wadow
2021,3,3.45,535.1,os_wadow
2021,4,6.32,619.2,os_wadow
2021,5,12.44,657.2,os_wadow
2021,6,19.22,564.1,os_wadow
2021,7,21.38,500.9,os_wadow
2021,8,17.5,497.4,os_wadow
2021,9,14.43,463.6,os_wadow
2021,10,9.04,390.5,os_wadow
2021,11,5.16,383.7,os_wadow
2021,12,-0.31,397.5,os_wadow
2022,1,0.35,644.0,os_wadow
2022,2,3.23,750.2,os_wadow
2022,3,2.72,423.3,os_wadow
2022,4,6.81,638.4,os_wadow
2022,5,14.67,633.0,os_wadow
2022,6,19.55,618.5,os_wadow
2022,7,19.63,617.6,os_wadow
2022,8,20.87,440.8,os_wadow
2022,9,13.29,495.8,os_wadow
2022,10,11.62,338.3,os_wadow
2022,11,4.28,240.5,os_wadow
2022,12,0.27,332.6,os_wadow
2023,1,2.86,423.6,os_wadow
2023,2,1.33,624.7,os_wadow
2023,3,5.37,610.0,os_wadow
2023,4,7.82,566.6,os_wadow
2023,5,12.88,534.1,os_wadow
2023,6,17.84,549.8,os_wadow
2023,7,20.57,585.4,os_wadow
2023,8,20.49,426.7,os_wadow
2023,9,17.91,386.5,os_wadow
2023,10,12.26,474.9,os_wadow
2023,11,4.92,536.6,os_wadow
2023,12,1.67,496.9,os_wadow
2024,1,-0.66,,os_wadow
2024,2,6.37,,os_wadow
2024,3,7.29,,os_wadow
2024,4,11.22,,os_wadow
2024,5,16.14,,os_wadow
2024,6,19.27,,os_wadow
2024,7,21.7,597.0,os_wadow
2024,8,21.16,481.1,os_wadow
2024,9,17.08,491.3,os_wadow
2024,10,10.34,329.8,os_wadow
2024,11,3.47,381.2,os_wadow
2024,12,1.82,364.4,os_wadow
2019,1,-1.67,517.1,ul_dietla
2019,2,3.01,459.7,ul_dietla
2019,3,6.48,704.5,ul_dietla
2019,4,10.14,596.3,ul_dietla
2019,5,12.49,535.5,ul_dietla
2019,6,21.58,565.8,ul_dietla
2019,7,19.38,677.9,ul_dietla
2019,8,20.44,471.0,ul_dietla
2019,9,15.05,549.3,ul_dietla
2019,10,11.37,342.5,ul_dietla
2019,11,7.07,254.3,ul_dietla
2019,12,3.02,379.0,ul_dietla
2020,1,1.35,349.5,ul_dietla
2020,2,4.32,660.8,ul_dietla
2020,3,5.09,603.5,ul_dietla
2020,4,9.93,665.4,ul_dietla
2020,5,11.83,654.9,ul_dietla
2020,6,18.1,509.2,ul_dietla
2020,7,19.14,542.3,ul_dietla
2020,8,20.86,562.5,ul_dietla
2020,9,15.65,378.8,ul_dietla
2020,10,10.74,368.4,ul_dietla
2020,11,5.39,265.7,ul_dietla
2020,12,1.76,221.6,ul_dietla
2021,1,-1.09,334.1,ul_dietla
2021,2,-0.94,358.0,ul_dietla
2021,3,3.57,535.1,ul_dietla
2021,4,6.42,619.2,ul_dietla
2021,5,12.59,657.2,ul_dietla
2021,6,19.32,564.1,ul_dietla
2021,7,21.5,500.9,ul_dietla
2021,8,17.69,497.4,ul_dietla
2021,9,14.48,463.6,ul_dietla
2021,10,9.23,390.5,ul_dietla
2021,11,5.29,383.7,ul_dietla
2021,12,-0.14,397.5,ul_dietla
2022,1,0.48,644.0,ul_dietla
2022,2,3.49,750.2,ul_dietla
2022,3,2.66,423.3,ul_dietla
2022,4,6.86,638.4,ul_dietla
2022,5,14.65,633.0,ul_dietla
2022,6,19.48,618.5,ul_dietla
2022,7,19.43,617.6,ul_dietla
2022,8,20.56,440.8,ul_dietla
2022,9,13.32,495.8,ul_dietla
2022,10,11.67,338.3,ul_dietla
2022,11,4.54,240.5,ul_dietla
2022,12,0.3,332.6,ul_dietla
2023,1,2.98,423.6,ul_dietla
2023,2,1.26,624.7,ul_dietla
2023,3,5.71,610.0,ul_dietla
2023,4,7.77,566.6,ul_dietla
2023,5,12.83,534.1,ul_dietla
2023,6,17.88,549.8,ul_dietla
2023,7,20.92,585.4,ul_dietla
2023,8,20.72,426.7,ul_dietla
2023,9,17.89,386.5,ul_dietla
2023,10,12.65,474.9,ul_dietla
